================================================================================
ROBUSTNESS METRICS SUMMARY REPORT
================================================================================
Generated: 2026-01-23 15:16:34
Output directory: ./analysis/robustness_results

--------------------------------------------------------------------------------
OVERVIEW
--------------------------------------------------------------------------------
aupc_raw            :    810 rows,  7 columns
aupc_summary        :    162 rows, 11 columns
rd_curve            : 973137 rows, 10 columns
rd_summary          :   3294 rows, 12 columns
csv_curve           :  16470 rows,  8 columns
csv_summary         :   3294 rows, 12 columns

--------------------------------------------------------------------------------
AUPC (Area Under Perturbation Curve) SUMMARY
--------------------------------------------------------------------------------

Statistics by grouping:
      dataset  tune     eval_mode   model noise_type  n     mean      std      sem   ci_low  ci_high
Lee2019_SSVEP False WithinSession CNN-NCP   gaussian  5 0.579954 0.009135 0.004085 0.571947 0.587961
Lee2019_SSVEP False WithinSession  EEGNet    dropout  5 0.848420 0.009791 0.004379 0.839838 0.857002
Lee2019_SSVEP False WithinSession  EEGNet        eog  5 0.695270 0.021708 0.009708 0.676242 0.714298
Lee2019_SSVEP False WithinSession  EEGNet   gaussian  5 0.911296 0.010890 0.004870 0.901751 0.920841
Lee2019_SSVEP False WithinSession REEGNet    dropout  5 0.568953 0.002922 0.001307 0.566392 0.571514
Lee2019_SSVEP False WithinSession REEGNet        eog  5 0.584013 0.008132 0.003637 0.576884 0.591141
Lee2019_SSVEP False WithinSession REEGNet   gaussian  5 0.551342 0.011336 0.005070 0.541405 0.561278
Lee2019_SSVEP  True  CrossSession CNN-NCP    dropout  5 0.624222 0.002873 0.001285 0.621704 0.626740
Lee2019_SSVEP  True  CrossSession CNN-NCP        eog  5 0.565677 0.000929 0.000415 0.564863 0.566491
Lee2019_SSVEP  True  CrossSession CNN-NCP   gaussian  5 0.612515 0.002189 0.000979 0.610596 0.614434
Lee2019_SSVEP  True  CrossSession  EEGNet    dropout  5 0.853834 0.000508 0.000227 0.853389 0.854279
Lee2019_SSVEP  True  CrossSession  EEGNet        eog  5 0.593792 0.003987 0.001783 0.590297 0.597287
Lee2019_SSVEP  True  CrossSession  EEGNet   gaussian  5 0.935312 0.002481 0.001110 0.933138 0.937487
Lee2019_SSVEP  True  CrossSession REEGNet    dropout  5 0.564289 0.001174 0.000525 0.563260 0.565318
Lee2019_SSVEP  True  CrossSession REEGNet        eog  5 0.602038 0.001874 0.000838 0.600395 0.603680
Lee2019_SSVEP  True  CrossSession REEGNet   gaussian  5 0.534405 0.002551 0.001141 0.532169 0.536641
Lee2019_SSVEP  True  CrossSubject CNN-NCP    dropout  5 0.787798 0.015616 0.006984 0.774110 0.801486
Lee2019_SSVEP  True  CrossSubject CNN-NCP        eog  5 0.605906 0.028894 0.012922 0.580579 0.631233
Lee2019_SSVEP  True  CrossSubject CNN-NCP   gaussian  5 0.843690 0.057036 0.025507 0.793695 0.893684
Lee2019_SSVEP  True  CrossSubject  EEGNet    dropout  5 0.806835 0.003814 0.001706 0.803491 0.810178
Lee2019_SSVEP  True  CrossSubject  EEGNet        eog  5 0.562231 0.006577 0.002941 0.556466 0.567995
Lee2019_SSVEP  True  CrossSubject  EEGNet   gaussian  5 0.973418 0.000818 0.000366 0.972701 0.974135
Lee2019_SSVEP  True  CrossSubject REEGNet    dropout  5 0.678634 0.027998 0.012521 0.654093 0.703175
Lee2019_SSVEP  True  CrossSubject REEGNet        eog  5 0.626418 0.015718 0.007029 0.612641 0.640195
Lee2019_SSVEP  True  CrossSubject REEGNet   gaussian  5 0.613223 0.027818 0.012441 0.588839 0.637606
Lee2019_SSVEP  True WithinSession CNN-NCP    dropout  5 0.614872 0.002135 0.000955 0.613000 0.616743
Lee2019_SSVEP  True WithinSession CNN-NCP        eog  5 0.604842 0.003402 0.001522 0.601860 0.607825
Lee2019_SSVEP  True WithinSession CNN-NCP   gaussian  5 0.609612 0.001949 0.000872 0.607903 0.611320
Lee2019_SSVEP  True WithinSession  EEGNet    dropout  5 0.860735 0.003481 0.001557 0.857684 0.863786
Lee2019_SSVEP  True WithinSession  EEGNet        eog  5 0.717713 0.011448 0.005120 0.707679 0.727748
Lee2019_SSVEP  True WithinSession  EEGNet   gaussian  5 0.931894 0.001734 0.000775 0.930375 0.933414
Lee2019_SSVEP  True WithinSession REEGNet    dropout  5 0.579811 0.004018 0.001797 0.576289 0.583333
Lee2019_SSVEP  True WithinSession REEGNet        eog  5 0.610138 0.005120 0.002290 0.605651 0.614626
