noise_type,intensity,clean_score,corrupted_score,clean_roc_auc,clean_accuracy,clean_precision,clean_recall,clean_f1,corrupted_roc_auc,corrupted_accuracy,corrupted_precision,corrupted_recall,corrupted_f1,relative_drop,training_time,evaluation_time,total_time,session,cv_type,split_level,subject,model,dataset,mode,eval_mode,seed,tune,batch_size,optimizer__lr,optimizer__weight_decay,module__ncp_hidden_dim,module__drop_prob,module__F1,module__D,module__kernel_length,module__temporal_kernel_size,module__temporal_stride,paradigm,module__sparsity,module__use_ms_block,module__use_snr_gate,module__use_forward_model,module__use_feedback_controller,module__use_delay,module__use_uncertainty_mixer,module__lstm_hidden_size
gaussian,8.789473684210527,0.8508873456790124,0.8518518518518519,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8518518518518519,0.7847222222222222,0.7157894736842105,0.9444444444444444,0.81437125748503,-0.001133529811834,70.67967200279236,0.4081141948699951,71.08778619766235,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,12.68421052631579,0.8508873456790124,0.8557098765432098,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8557098765432098,0.8055555555555556,0.7444444444444445,0.9305555555555556,0.8271604938271605,-0.0056676490591701,70.67967200279236,0.4210414886474609,71.10071349143982,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,16.578947368421055,0.8508873456790124,0.8499228395061729,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8499228395061729,0.7847222222222222,0.7252747252747253,0.9166666666666666,0.8098159509202454,0.001133529811834,70.67967200279236,0.4097230434417724,71.08939504623413,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,20.473684210526315,0.8508873456790124,0.8346836419753086,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8346836419753086,0.7708333333333334,0.7142857142857143,0.9027777777777778,0.7975460122699387,0.019043300838812,70.67967200279236,0.4210987091064453,71.1007707118988,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,24.36842105263158,0.8508873456790124,0.8273533950617284,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8273533950617284,0.75,0.7045454545454546,0.8611111111111112,0.775,0.0276581274087508,70.67967200279236,0.4287059307098388,71.1083779335022,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,28.26315789473684,0.8508873456790124,0.8458719135802469,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8458719135802469,0.7847222222222222,0.759493670886076,0.8333333333333334,0.7947019867549668,0.005894355021537,70.67967200279236,0.4233942031860351,71.1030662059784,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,32.15789473684211,0.8508873456790124,0.8385416666666666,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8385416666666666,0.7222222222222222,0.6951219512195121,0.7916666666666666,0.7402597402597403,0.0145091815914759,70.67967200279236,0.4219915866851806,71.10166358947754,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,36.05263157894737,0.8508873456790124,0.8395061728395062,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8395061728395062,0.75,0.75,0.75,0.75,0.0133756517796417,70.67967200279236,0.400160551071167,71.07983255386353,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,39.94736842105263,0.8508873456790124,0.8339120370370371,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.8339120370370371,0.7361111111111112,0.7741935483870968,0.6666666666666666,0.7164179104477612,0.0199501246882792,70.67967200279236,0.4519364833831787,71.13160848617554,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
gaussian,43.8421052631579,0.8508873456790124,0.7540509259259259,0.8508873456790124,0.7986111111111112,0.7311827956989247,0.9444444444444444,0.8242424242424243,0.7540509259259259,0.6805555555555556,0.7241379310344828,0.5833333333333334,0.6461538461538462,0.1138063931081387,70.67967200279236,0.4258148670196533,71.10548686981201,0train,LeaveOneGroupOut,cross_session,1,branched_diva_ncp,BNCI2014_001,test_perturb,CrossSession,42,False,64.0,0.01,0.0,64.0,0.5,8.0,2.0,125.0,3.0,2.0,MotorImagery,,,,,,,,
