================================================================================
ROBUSTNESS METRICS SUMMARY REPORT
================================================================================
Generated: 2026-01-23 15:35:03
Output directory: ./analysis/robustness_results\hydra

--------------------------------------------------------------------------------
OVERVIEW
--------------------------------------------------------------------------------
aupc_raw            :   1080 rows,  7 columns
aupc_summary        :    216 rows, 11 columns
rd_curve            : 1298007 rows, 10 columns
rd_summary          :   4392 rows, 12 columns
csv_curve           :  21960 rows,  8 columns
csv_summary         :   4392 rows, 12 columns

--------------------------------------------------------------------------------
AUPC (Area Under Perturbation Curve) SUMMARY
--------------------------------------------------------------------------------

Statistics by grouping:
      dataset  tune     eval_mode   model noise_type  n     mean      std      sem   ci_low  ci_high
Lee2019_SSVEP False WithinSession REEGNet    dropout  5 0.575029 0.002956 0.001322 0.572438 0.577621
Lee2019_SSVEP False WithinSession REEGNet        eog  5 0.590170 0.008143 0.003642 0.583032 0.597308
Lee2019_SSVEP False WithinSession REEGNet   gaussian  5 0.557464 0.011359 0.005080 0.547507 0.567420
Lee2019_SSVEP  True  CrossSession CNN-NCP    dropout  5 0.630955 0.002899 0.001297 0.628413 0.633496
Lee2019_SSVEP  True  CrossSession CNN-NCP        eog  5 0.572457 0.000941 0.000421 0.571633 0.573282
Lee2019_SSVEP  True  CrossSession CNN-NCP   gaussian  5 0.619320 0.002189 0.000979 0.617402 0.621239
Lee2019_SSVEP  True  CrossSession  EEGNet    dropout  5 0.861391 0.000514 0.000230 0.860940 0.861842
Lee2019_SSVEP  True  CrossSession  EEGNet        eog  5 0.600703 0.003991 0.001785 0.597205 0.604201
Lee2019_SSVEP  True  CrossSession  EEGNet   gaussian  5 0.942875 0.002492 0.001115 0.940690 0.945060
Lee2019_SSVEP  True  CrossSession   HYDRA    dropout  5 0.684524 0.007702 0.003444 0.677773 0.691275
Lee2019_SSVEP  True  CrossSession   HYDRA        eog  5 0.622476 0.006345 0.002838 0.616914 0.628038
Lee2019_SSVEP  True  CrossSession   HYDRA   gaussian  5 0.806180 0.009160 0.004097 0.798151 0.814210
Lee2019_SSVEP  True  CrossSession REEGNet    dropout  5 0.570406 0.001178 0.000527 0.569373 0.571438
Lee2019_SSVEP  True  CrossSession REEGNet        eog  5 0.608180 0.001885 0.000843 0.606528 0.609833
Lee2019_SSVEP  True  CrossSession REEGNet   gaussian  5 0.540579 0.002547 0.001139 0.538346 0.542811
Lee2019_SSVEP  True  CrossSubject CNN-NCP    dropout  5 0.795486 0.015632 0.006991 0.781784 0.809189
Lee2019_SSVEP  True  CrossSubject CNN-NCP        eog  5 0.613619 0.028901 0.012925 0.588287 0.638952
Lee2019_SSVEP  True  CrossSubject CNN-NCP   gaussian  5 0.851398 0.057045 0.025511 0.801396 0.901400
Lee2019_SSVEP  True  CrossSubject  EEGNet    dropout  5 0.814549 0.003815 0.001706 0.811205 0.817894
Lee2019_SSVEP  True  CrossSubject  EEGNet        eog  5 0.568965 0.006647 0.002972 0.563139 0.574791
Lee2019_SSVEP  True  CrossSubject  EEGNet   gaussian  5 0.981149 0.000822 0.000368 0.980428 0.981869
Lee2019_SSVEP  True  CrossSubject   HYDRA    dropout  5 0.856703 0.053839 0.024077 0.809511 0.903895
Lee2019_SSVEP  True  CrossSubject   HYDRA        eog  5 0.631902 0.049526 0.022149 0.588490 0.675313
Lee2019_SSVEP  True  CrossSubject   HYDRA   gaussian  5 0.947488 0.069218 0.030955 0.886816 1.008160
Lee2019_SSVEP  True  CrossSubject REEGNet    dropout  5 0.685752 0.028194 0.012609 0.661039 0.710466
Lee2019_SSVEP  True  CrossSubject REEGNet        eog  5 0.633571 0.015916 0.007118 0.619621 0.647522
Lee2019_SSVEP  True  CrossSubject REEGNet   gaussian  5 0.620385 0.027952 0.012501 0.595884 0.644886
Lee2019_SSVEP  True WithinSession CNN-NCP    dropout  5 0.621618 0.002161 0.000967 0.619724 0.623513
Lee2019_SSVEP  True WithinSession CNN-NCP        eog  5 0.611610 0.003416 0.001527 0.608616 0.614604
Lee2019_SSVEP  True WithinSession CNN-NCP   gaussian  5 0.616434 0.001965 0.000879 0.614712 0.618156
Lee2019_SSVEP  True WithinSession  EEGNet    dropout  5 0.868270 0.003474 0.001553 0.865225 0.871315
Lee2019_SSVEP  True WithinSession  EEGNet        eog  5 0.724891 0.011475 0.005132 0.714833 0.734950
Lee2019_SSVEP  True WithinSession  EEGNet   gaussian  5 0.939434 0.001743 0.000780 0.937906 0.940962
Lee2019_SSVEP  True WithinSession   HYDRA    dropout  5 0.678372 0.003728 0.001667 0.675105 0.681640
Lee2019_SSVEP  True WithinSession   HYDRA        eog  5 0.624482 0.004464 0.001996 0.620570 0.628395
Lee2019_SSVEP  True WithinSession   HYDRA   gaussian  5 0.795315 0.006623 0.002962 0.789509 0.801120
Lee2019_SSVEP  True WithinSession REEGNet    dropout  5 0.586096 0.004071 0.001820 0.582528 0.589664
Lee2019_SSVEP  True WithinSession REEGNet        eog  5 0.616486 0.005158 0.002307 0.611965 0.621007
Lee2019_SSVEP  True WithinSession REEGNet   gaussian  5 0.554210 0.002670 0.001194 0.551870 0.556551

Top 10 Best AUPC (by mean):
 model       dataset noise_type     mean   ci_low  ci_high
EEGNet Lee2019_SSVEP   gaussian 0.981149 0.980428 0.981869
EEGNet Lee2019_SSVEP   gaussian 0.978166 0.976998 0.979334
 HYDRA Lee2019_SSVEP   gaussian 0.947488 0.886816 1.008160
EEGNet Lee2019_SSVEP   gaussian 0.942875 0.940690 0.945060
EEGNet Lee2019_SSVEP   gaussian 0.939434 0.937906 0.940962
EEGNet Lee2019_SSVEP   gaussian 0.924895 0.919053 0.930737
EEGNet Lee2019_SSVEP   gaussian 0.918724 0.909132 0.928316
EEGNet Lee2019_SSVEP    dropout 0.868270 0.865225 0.871315
EEGNet Lee2019_SSVEP    dropout 0.861391 0.860940 0.861842
 HYDRA Lee2019_SSVEP    dropout 0.856703 0.809511 0.903895

--------------------------------------------------------------------------------
RD (Relative Degradation) SUMMARY (Sample)
--------------------------------------------------------------------------------
Showing first 20 rows:
dataset  tune    eval_mode   model noise_type        p   n     mean      std      sem   ci_low  ci_high
BI2015a False CrossSession CNN-NCP    dropout 0.010000 645 0.056206 0.068353 0.002691 0.050930 0.061481
BI2015a False CrossSession CNN-NCP    dropout 0.062105 645 0.056206 0.068353 0.002691 0.050930 0.061481
BI2015a False CrossSession CNN-NCP    dropout 0.114211 645 0.067281 0.073565 0.002897 0.061604 0.072958
BI2015a False CrossSession CNN-NCP    dropout 0.166316 645 0.074877 0.076113 0.002997 0.069003 0.080752
BI2015a False CrossSession CNN-NCP    dropout 0.218421 645 0.080081 0.077836 0.003065 0.074074 0.086088
BI2015a False CrossSession CNN-NCP    dropout 0.270526 645 0.086202 0.075427 0.002970 0.080381 0.092023
BI2015a False CrossSession CNN-NCP    dropout 0.322632 645 0.097650 0.078908 0.003107 0.091561 0.103740
